Name,ID,2021 Yahoo Fantasy Pts,2021 IP,2021 Hits,2021 Strikeouts,2021 Walks,2021 Earned Runs,2021 Wins,2021 Losses,2021 xba,2021 xslg,2021 woba,2021 xwoba,2021 xobp,2021 xiso,2021 exit_velocity_avg,2021 launch_angle_avg,2021 sweet_spot_percent,2021 barrel_batted_rate,2021 hard_hit_percent,2021 avg_best_speed,2021 avg_hyper_speed,2021 whiff_percent,2021 swing_percent,2022 Yahoo Fantasy Pts
"Alcantara, Sandy",645261,419.6,205.2,171,201,50,73,9,15,0.232,0.369,0.279,0.288,0.287,0.136,87.6,4.5,29.9,6.1,39.4,75.37,93.98,27.3,53.3,576.6
"Anderson, Tyler",542881,239,167,170,134,38,84,7,11,0.259,0.425,0.319,0.315,0.301,0.166,87,18.2,35.7,8.5,33,75.11,93.47,23.1,54.2,441.6
"Bassitt, Chris",605135,394.3,157.1,127,159,39,55,12,4,0.227,0.362,0.274,0.286,0.288,0.135,87.6,12.5,32.9,6.5,33.2,76.72,93.23,23.8,47.7,394.6
"Berrios, Jose",621244,441,192,159,204,45,75,12,9,0.242,0.407,0.286,0.311,0.301,0.166,88.4,12.4,36.6,9.1,38.3,76.73,94.15,23.7,47,246
"Brubaker, JT",664141,153.3,124.1,123,129,37,74,5,13,0.252,0.44,0.34,0.329,0.318,0.188,88.9,12.6,33.4,8.8,38.7,77.57,94.27,27.3,47.5,173
"Bubic, Kris",663460,191,130,121,114,59,64,6,7,0.255,0.456,0.337,0.349,0.344,0.2,88.8,9.1,34.8,9,39.6,77.28,94.23,23.4,44.8,68
"Bumgarner, Madison",518516,222.3,146.1,134,124,39,76,7,10,0.245,0.432,0.315,0.319,0.307,0.187,88.8,18.5,38,7.5,38.5,78.47,93.8,21.5,49,146.6
"Burnes, Corbin",669203,518,167,123,234,34,45,11,5,0.18,0.256,0.232,0.219,0.23,0.076,85.5,8.4,29.5,3.1,30.5,73.53,92.75,36.5,49.2,542
"Castillo, Luis",622491,291.6,187.2,181,192,75,83,8,16,0.232,0.347,0.318,0.293,0.312,0.115,87.7,4.2,28.7,4.5,36.9,76.3,93.57,28.7,49.3,364.3
"Cease, Dylan",656302,400.6,165.2,139,226,68,72,13,7,0.21,0.364,0.295,0.295,0.297,0.154,89.2,18.5,37,9.9,38.8,78.65,94.14,34.6,46.8,515
"Cole, Gerrit",543037,504.3,181.1,151,243,41,65,16,8,0.209,0.369,0.276,0.274,0.257,0.16,88.7,12.5,33,9.8,38.6,77.57,94.11,31.9,48.9,522.6
"Corbin, Patrick",571578,147.6,171.2,192,143,60,111,9,16,0.282,0.493,0.362,0.358,0.342,0.211,89.4,9,32.9,9.2,41.2,78.15,94.63,24.8,47.9,46.6
"Darvish, Yu",506433,344.3,166.1,138,199,44,78,8,11,0.208,0.376,0.301,0.282,0.269,0.168,88.2,16.6,35.1,8.8,34.9,78.09,93.2,27.3,47.6,500.6
"Davies, Zach",605200,101,148,162,114,75,95,6,12,0.293,0.487,0.366,0.375,0.379,0.193,89.8,11,36.2,9.1,43.3,78.66,94.68,22.3,43.2,193.3
"Dunning, Dane",641540,153.6,117.2,126,114,43,59,5,10,0.265,0.419,0.336,0.333,0.338,0.154,89.2,6.7,31.4,8.1,43.5,77.89,94.65,23.2,46.3,204.3
"Fedde, Erick",607200,163.3,133.1,144,128,48,81,7,9,0.263,0.456,0.34,0.337,0.328,0.193,89.8,7.3,31.1,9.3,40.6,78.49,94.76,21.9,44.9,69
"Flexen, Chris",623167,333.6,179.2,185,125,40,72,14,6,0.261,0.427,0.311,0.317,0.305,0.166,89.5,11.5,33.9,6.3,38.1,79.44,94.03,19.2,49.8,204.6
"Freeland, Kyle",607536,173.6,120.2,133,105,38,58,7,8,0.247,0.414,0.349,0.314,0.308,0.168,88.4,11.4,34.5,8.2,35.3,77.52,93.67,21.1,46.2,221.6
"Fried, Max",608331,396.6,165.2,139,158,41,56,14,7,0.234,0.364,0.278,0.288,0.289,0.13,86.5,6.1,31.2,6.3,34.3,74.69,93.19,24.3,49,470.3
"Gallen, Zac",668678,199.3,121.1,108,139,49,58,4,10,0.23,0.382,0.313,0.306,0.31,0.152,89.2,12.3,32.7,7.9,43,78.81,94.11,23.3,44.3,512
"Garcia, Luis",677651,344.3,155.1,133,167,50,60,11,8,0.236,0.394,0.297,0.304,0.301,0.158,88.1,15.9,34.1,7.3,38.7,76.56,93.92,30.5,47.1,355.3
"Gausman, Kevin",592332,523,192,150,227,50,60,14,6,0.231,0.381,0.265,0.29,0.284,0.151,89.1,12.1,30.6,7.1,40.9,77.91,94.45,31.3,52.4,391.6
"Gibson, Kyle",502043,334,182,158,155,64,75,10,9,0.241,0.367,0.293,0.302,0.313,0.127,88.8,7.4,30.6,4.9,39.1,78.01,93.97,24.9,44.8,243.6
"Gilbert, Logan",669302,226.3,119.1,112,128,28,62,6,5,0.242,0.428,0.305,0.311,0.294,0.185,90.1,19.2,36.4,8.8,44.6,79.71,94.68,27.1,50.9,413.6
"Giolito, Lucas",608337,409.6,178.2,145,201,51,70,11,9,0.221,0.362,0.288,0.28,0.278,0.141,87.7,18.3,37.4,6.7,34.2,76.83,93.32,32.2,50.5,262.6
"Gonzales, Marco",594835,264.3,143.1,125,108,42,63,10,6,0.257,0.483,0.321,0.341,0.317,0.226,88.1,20.6,37.4,11.4,37,76.74,93.85,20.4,48,215
"Gray, Jon",592351,234,149,140,157,58,76,8,12,0.235,0.378,0.32,0.305,0.314,0.143,89,9.5,30.4,6.9,38.2,77.83,94.24,26.7,45.3,259.3
"Greinke, Zack",425844,300,171,164,120,36,79,11,6,0.266,0.43,0.309,0.319,0.306,0.164,88.3,10.6,35.3,6.5,35.4,77.62,93.64,21.8,46,163
