Name,ID,Year,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent,2023 Yahoo Fantasy Pts,2023 IP,2023 Hits,2023 Strikeouts,2023 Walks,2023 Earned Runs,2023 Wins,2023 Losses,2023 xba,2023 xslg,2023 woba,2023 xwoba,2023 xobp,2023 xiso,2023 exit_velocity_avg,2023 launch_angle_avg,2023 sweet_spot_percent,2023 barrel_batted_rate,2023 hard_hit_percent,2023 avg_best_speed,2023 avg_hyper_speed,2023 whiff_percent,2023 swing_percent
"Alcantara, Sandy",645261,2022,576.6,228.2,174,207,50,58,14,9,0.215,0.331,0.26,0.266,0.267,0.116,87.8,5.5,28.4,5.3,38.5,76.11,93.95,25.4,53.4,284.6,184.2,176,151,48,85,7,12,0.265,0.417,0.301,0.32,0.317,0.153,88.8,7,31.4,7,40.6,77.35,94.28,25.2,54.2
"Anderson, Tyler",542881,2022,441.6,178.2,145,138,34,51,15,5,0.225,0.349,0.271,0.275,0.272,0.124,85,16.9,34.2,4.9,28.5,73.23,92.35,24.2,52.7,162,141,146,119,64,85,6,6,0.259,0.434,0.345,0.34,0.343,0.175,87,19.1,37.6,8.2,32.3,75.82,93.08,27.8,49.7
"Bassitt, Chris",605135,2022,394.6,181.2,159,167,49,69,15,9,0.227,0.359,0.291,0.29,0.291,0.132,85.7,10.8,31.1,6.6,32.8,73.74,92.8,23.6,46.5,431,200,176,186,59,80,16,8,0.241,0.405,0.304,0.31,0.306,0.164,87.5,13.2,36,8.3,35.3,75.82,93.66,21.9,47.3
"Berrios, Jose",621244,2022,246,172,199,149,45,100,12,7,0.275,0.466,0.35,0.346,0.329,0.191,90,13.9,36.3,9.5,43.8,79.06,94.76,21.2,48.6,367.6,189.2,173,184,52,77,11,12,0.261,0.437,0.302,0.326,0.318,0.176,88.2,11.8,39.1,8.6,35.8,77.33,93.58,25.4,46.5
"Bieber, Shane",669456,2022,487,200,172,198,36,64,13,8,0.245,0.386,0.269,0.292,0.281,0.141,89.9,10,32.4,7.2,43.1,79.52,94.36,29.7,49.7,225,128,124,107,34,54,6,6,0.284,0.446,0.307,0.336,0.332,0.163,91.6,9.5,34.4,7.8,47.8,81.66,95.36,24.2,46.1
"Bradish, Kyle",680694,2022,154.6,117.2,119,111,46,64,4,7,0.253,0.404,0.334,0.327,0.331,0.15,89.9,8.7,31.4,7.8,41,79.16,94.57,23.6,45.4,415.6,168.2,132,168,44,53,12,7,0.239,0.388,0.268,0.3,0.298,0.15,90,6.6,33.3,6.9,42,80.02,94.27,25.9,45.8
"Burnes, Corbin",669203,2022,542,202,144,243,51,66,12,8,0.212,0.336,0.267,0.273,0.275,0.124,87.2,10,31.6,5.7,34.1,75.65,93.4,35.2,46.2,436.6,193.2,141,200,66,73,10,8,0.224,0.342,0.266,0.285,0.298,0.118,86.4,10.5,31,5.3,32.4,74.86,92.97,28.7,46.3
"Castillo, Luis",622491,2022,364.3,150.1,118,167,45,50,8,6,0.223,0.344,0.273,0.284,0.291,0.12,89,10.4,33.8,6.9,37.6,78.44,94,27.8,49.4,473,197,160,219,56,73,14,9,0.23,0.408,0.289,0.302,0.288,0.179,90,15.9,31,9.4,41.8,78.96,94.71,30.6,52.1
"Cease, Dylan",656302,2022,515,184,126,227,78,45,14,8,0.184,0.292,0.263,0.257,0.273,0.109,86.8,15,31.4,6.2,31.2,75.93,92.88,33.2,47.3,304,177,172,214,79,90,7,9,0.241,0.381,0.321,0.313,0.327,0.14,90,15.4,36.8,6.2,41.6,79.79,94.36,31,46.3
"Cobb, Alex",502171,2022,274.6,149.2,152,151,43,62,7,8,0.235,0.329,0.296,0.277,0.291,0.094,89.2,1.8,26.3,3.7,41.1,78.45,94.15,24.8,45,254.3,151.1,163,131,37,65,7,7,0.278,0.444,0.325,0.333,0.326,0.167,89.8,1.3,33.1,7,43.4,78.16,94.96,21.7,44.9
"Cole, Gerrit",543037,2022,522.6,200.2,154,257,50,78,13,8,0.214,0.383,0.283,0.284,0.266,0.169,89.4,12.6,32.5,9.5,40.2,78.81,94.23,33.9,48.2,577,209,157,222,48,61,15,4,0.233,0.379,0.256,0.289,0.284,0.146,89.2,14.8,33.7,7.6,39.2,78.7,94,26,50.1
"Corbin, Patrick",571578,2022,46.6,152.2,210,128,49,107,6,19,0.304,0.52,0.383,0.381,0.359,0.216,90.8,11.5,40.1,11,45,80.23,95.07,20.7,47.4,164,180,210,124,57,104,10,15,0.303,0.518,0.353,0.373,0.356,0.214,90.7,11.7,37.9,9.3,44,80.19,94.93,21.2,45.7
"Darvish, Yu",506433,2022,500.6,194.2,148,197,37,67,16,8,0.226,0.388,0.259,0.291,0.275,0.161,88.5,17,31.2,8.8,37.1,77.85,93.61,25.1,49.7,225.3,136.1,134,141,42,69,8,10,0.242,0.375,0.321,0.302,0.308,0.133,88.4,13.7,33,6.8,38.2,77.26,93.95,25,46.4
"Detmers, Reid",672282,2022,250,129,110,122,46,54,7,6,0.243,0.388,0.3,0.312,0.318,0.144,89.3,16.7,39.9,8,38.6,79.43,93.83,25.3,48.3,233.6,148.2,141,168,60,74,4,10,0.253,0.398,0.321,0.327,0.34,0.144,89.8,15.8,37.2,6.2,41.4,79.27,94.46,27.1,48.8
"Dunning, Dane",641540,2022,204.3,153.1,158,137,62,76,4,8,0.25,0.4,0.344,0.327,0.332,0.15,87.9,5.4,30,8.9,38,75.65,94.09,24.4,44.4,321.6,172.2,163,140,55,71,12,7,0.261,0.415,0.31,0.325,0.327,0.153,88.8,10.8,32.5,7.5,40.2,77.76,94.07,22.2,47
"Freeland, Kyle",607536,2022,221.6,174.2,193,131,53,88,9,11,0.271,0.457,0.346,0.347,0.337,0.186,89.8,12.7,35.2,9.7,42.4,79.41,94.45,20.8,47.5,116.6,155.2,187,94,42,87,6,14,0.294,0.508,0.36,0.361,0.338,0.214,90.2,14.3,35,8.7,43.5,79.78,94.65,17.1,51
"Gallen, Zac",668678,2022,512,184,121,192,47,52,12,4,0.213,0.34,0.25,0.278,0.279,0.127,87.8,10.8,33,7.8,36.1,76.87,93.45,23,47.4,493,210,188,220,47,81,17,9,0.254,0.427,0.289,0.314,0.3,0.173,91.5,12.3,36.4,9.2,46.2,82.02,95,26.3,47.2
"Gausman, Kevin",592332,2022,391.6,174.2,188,205,28,65,12,10,0.242,0.38,0.304,0.285,0.272,0.138,89,12.2,38.1,8.1,38.5,78.2,94.02,29.4,55.9,459,185,163,237,55,65,12,9,0.235,0.402,0.292,0.303,0.294,0.167,89.4,12.3,36.9,9.9,43.3,77.9,94.8,28.9,49.3
"Gibson, Kyle",502043,2022,243.6,167.2,176,144,48,94,10,8,0.262,0.421,0.331,0.326,0.32,0.159,88.6,10.6,34.8,7.5,37.5,77.44,93.99,25.1,48.5,308,192,198,157,55,101,15,9,0.27,0.446,0.326,0.335,0.325,0.176,89.7,8.2,33.4,7.6,44.5,78.38,94.79,25.3,45.6
"Gilbert, Logan",669302,2022,413.6,185.2,170,174,49,66,13,6,0.253,0.408,0.299,0.314,0.308,0.154,91,14.6,37.6,7.1,45.6,80.92,95.05,24.2,50.3,426.6,190.2,169,189,36,79,13,7,0.243,0.41,0.29,0.297,0.28,0.167,90.5,13.6,35,9,44.6,80.45,94.75,26.3,52.2
"Giolito, Lucas",608337,2022,262.6,161.2,171,177,61,88,11,9,0.249,0.397,0.344,0.318,0.319,0.149,88.8,12.6,37.9,7.5,39,77.64,94.19,28.5,47.4,279.3,184.1,169,204,73,100,8,15,0.24,0.445,0.339,0.329,0.318,0.205,89.2,18.5,33.3,11,41.6,77.98,94.42,28.8,46.8
"Gomber, Austin",596295,2022,132.6,124.2,137,95,34,77,5,7,0.267,0.44,0.347,0.33,0.316,0.173,88.1,12.4,35.7,8.5,35.9,77.13,93.7,21.9,49,127,139,164,87,43,85,9,9,0.292,0.5,0.368,0.362,0.346,0.207,90.5,12.8,31.3,8.9,44.3,79.78,94.95,19,47.5
"Gray, Jon",592351,2022,259.3,127.1,105,134,39,56,7,7,0.23,0.367,0.292,0.295,0.296,0.137,88,11.1,34.8,6.1,38,76.5,93.82,25.9,48.9,271.3,157.1,149,142,54,72,9,8,0.26,0.415,0.317,0.325,0.33,0.155,89.4,13.4,35.5,6.4,39.5,78.99,94.13,26.3,50.8
