Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Alcantara, Sandy",645261,2023,284.6,184.2,176,151,48,85,7,12,0.265,0.417,0.301,0.32,0.317,0.153,88.8,7,31.4,7,40.6,77.34873688,94.27589467,25.2,54.2
"Alcantara, Sandy",645261,2022,576.6,228.2,174,207,50,58,14,9,0.215,0.331,0.26,0.266,0.267,0.116,87.8,5.5,28.4,5.3,38.5,76.10610528,93.94754593,25.4,53.4
"Alcantara, Sandy",645261,2021,419.6,205.2,171,201,50,73,9,15,0.232,0.369,0.279,0.288,0.287,0.136,87.6,4.5,29.9,6.1,39.4,75.36583133,93.98363218,27.3,53.3
"Allard, Kolby",663465,2021,122.6,124.2,128,104,31,75,3,12,0.266,0.481,0.331,0.343,0.315,0.215,89.8,15.2,34.7,10.6,39,78.97326362,94.48775105,19.8,48.4
"Allen, Logan",671106,2023,208.3,125.1,127,119,48,53,7,8,0.257,0.413,0.326,0.323,0.325,0.156,88.9,12.6,34.2,7.6,39.1,77.88202857,94.24561284,24,47.7
"Alzolay, Adbert",640470,2021,189.6,125.2,112,128,34,64,5,13,0.249,0.451,0.312,0.326,0.306,0.203,89.3,10.8,33.8,9.9,38.1,78.27173835,94.33408853,26.8,49.3
"Anderson, Ian",666120,2021,268.3,128.1,105,124,53,51,9,5,0.24,0.41,0.293,0.317,0.317,0.17,88.3,6.4,29.4,9.5,38.7,76.27742889,94.24747997,28.5,46.1
"Anderson, Tyler",542881,2023,162,141,146,119,64,85,6,6,0.259,0.434,0.345,0.34,0.343,0.175,87,19.1,37.6,8.2,32.3,75.81805433,93.08464977,27.8,49.7
"Anderson, Tyler",542881,2022,441.6,178.2,145,138,34,51,15,5,0.225,0.349,0.271,0.275,0.272,0.124,85,16.9,34.2,4.9,28.5,73.22844707,92.35343174,24.2,52.7
"Anderson, Tyler",542881,2021,239,167,170,134,38,84,7,11,0.259,0.425,0.319,0.315,0.301,0.166,87,18.2,35.7,8.5,33,75.11269676,93.47153665,23.1,54.2
"Ashcraft, Graham",668933,2023,182.6,145.2,148,111,52,77,7,9,0.272,0.429,0.339,0.34,0.345,0.157,88.4,8.1,34,6.9,38.9,76.72041982,94.14381922,22.1,48.2
"Bassitt, Chris",605135,2023,431,200,176,186,59,80,16,8,0.241,0.405,0.304,0.31,0.306,0.164,87.5,13.2,36,8.3,35.3,75.81987463,93.66280941,21.9,47.3
"Bassitt, Chris",605135,2022,394.6,181.2,159,167,49,69,15,9,0.227,0.359,0.291,0.29,0.291,0.132,85.7,10.8,31.1,6.6,32.8,73.74009578,92.80273327,23.6,46.5
"Bassitt, Chris",605135,2021,394.3,157.1,127,159,39,55,12,4,0.227,0.362,0.274,0.286,0.288,0.135,87.6,12.5,32.9,6.5,33.2,76.7218207,93.22624024,23.8,47.7
"Bello, Brayan",678394,2023,250,157,165,132,45,74,12,11,0.253,0.411,0.334,0.315,0.31,0.158,89.5,4.9,28,7,44.3,78.00724417,94.76008503,24.4,48.4
"Berrios, Jose",621244,2023,367.6,189.2,173,184,52,77,11,12,0.261,0.437,0.302,0.326,0.318,0.176,88.2,11.8,39.1,8.6,35.8,77.33453026,93.5835612,25.4,46.5
"Berrios, Jose",621244,2022,246,172,199,149,45,100,12,7,0.275,0.466,0.35,0.346,0.329,0.191,90,13.9,36.3,9.5,43.8,79.057235,94.76496147,21.2,48.6
"Berrios, Jose",621244,2021,441,192,159,204,45,75,12,9,0.242,0.407,0.286,0.311,0.301,0.166,88.4,12.4,36.6,9.1,38.3,76.73079331,94.15129008,23.7,47
"Bibee, Tanner",676440,2023,336,142,122,141,45,47,10,4,0.235,0.376,0.285,0.297,0.3,0.14,88.9,16.6,37.8,6.1,38.1,78.01009352,94.07053338,26.3,47.2
"Bieber, Shane",669456,2023,225,128,124,107,34,54,6,6,0.284,0.446,0.307,0.336,0.332,0.163,91.6,9.5,34.4,7.8,47.8,81.65811974,95.36187707,24.2,46.1
"Bieber, Shane",669456,2022,487,200,172,198,36,64,13,8,0.245,0.386,0.269,0.292,0.281,0.141,89.9,10,32.4,7.2,43.1,79.51667091,94.35962549,29.7,49.7
"Bradish, Kyle",680694,2023,415.6,168.2,132,168,44,53,12,7,0.239,0.388,0.268,0.3,0.298,0.15,90,6.6,33.3,6.9,42,80.02399938,94.26840016,25.9,45.8
"Bradish, Kyle",680694,2022,154.6,117.2,119,111,46,64,4,7,0.253,0.404,0.334,0.327,0.331,0.15,89.9,8.7,31.4,7.8,41,79.16181211,94.57371783,23.6,45.4
"Brown, Hunter",686613,2023,245.6,155.2,157,178,55,88,11,13,0.24,0.414,0.34,0.318,0.314,0.174,90.8,6.9,30,10.9,44.4,80.71069057,94.87246225,24.8,46.4
"Brubaker, JT",664141,2022,173,144,157,147,54,75,3,12,0.257,0.413,0.339,0.329,0.33,0.157,89.6,10.8,36.2,7.6,41.3,78.58967184,94.55055457,27.3,46.4
"Brubaker, JT",664141,2021,153.3,124.1,123,129,37,74,5,13,0.252,0.44,0.34,0.329,0.318,0.188,88.9,12.6,33.4,8.8,38.7,77.57320337,94.26926766,27.3,47.5
"Bubic, Kris",663460,2022,68,129,156,110,63,80,3,13,0.286,0.455,0.371,0.362,0.367,0.169,90,10.7,41,7.8,44.9,78.94535465,94.90116666,21.3,47
"Bubic, Kris",663460,2021,191,130,121,114,59,64,6,7,0.255,0.456,0.337,0.349,0.344,0.2,88.8,9.1,34.8,9,39.6,77.28279973,94.2339008,23.4,44.8
"Buehler, Walker",621111,2021,578.6,207.2,149,212,52,57,16,4,0.218,0.345,0.255,0.272,0.274,0.127,88.2,11.1,29.2,6.8,37.1,76.92438808,93.91320166,26.3,49.2
"Bumgarner, Madison",518516,2022,146.6,158.2,179,112,49,86,7,15,0.276,0.488,0.357,0.358,0.337,0.211,90.3,16.8,37.7,9.8,43.2,79.789796,94.76478819,18.1,48.4
"Bumgarner, Madison",518516,2021,222.3,146.1,134,124,39,76,7,10,0.245,0.432,0.315,0.319,0.307,0.187,88.8,18.5,38,7.5,38.5,78.47256324,93.80493033,21.5,49
"Bundy, Dylan",605164,2022,183,140,151,94,28,76,8,8,0.263,0.44,0.329,0.321,0.3,0.177,88.9,18.6,35.3,8.9,38.3,77.75113841,94.19838449,21.1,52.2
"Burnes, Corbin",669203,2023,436.6,193.2,141,200,66,73,10,8,0.224,0.342,0.266,0.285,0.298,0.118,86.4,10.5,31,5.3,32.4,74.85654949,92.97463159,28.7,46.3
"Burnes, Corbin",669203,2022,542,202,144,243,51,66,12,8,0.212,0.336,0.267,0.273,0.275,0.124,87.2,10,31.6,5.7,34.1,75.64792823,93.40400004,35.2,46.2
"Burnes, Corbin",669203,2021,518,167,123,234,34,45,11,5,0.18,0.256,0.232,0.219,0.23,0.076,85.5,8.4,29.5,3.1,30.5,73.53457788,92.74946743,36.5,49.2
"Canning, Griffin",656288,2023,236,127,121,139,36,61,7,8,0.236,0.421,0.315,0.309,0.296,0.185,91,12.8,31.5,9.8,44.2,81.18228177,94.78103805,29.1,48.4
"Carrasco, Carlos",471911,2022,312,152,161,152,41,67,15,7,0.253,0.405,0.327,0.313,0.31,0.152,88.4,9.7,35.2,7,39.5,76.28136711,94.44608812,27.6,52.1
"Castillo, Luis",622491,2023,473,197,160,219,56,73,14,9,0.23,0.408,0.289,0.302,0.288,0.179,90,15.9,31,9.4,41.8,78.96020907,94.70960365,30.6,52.1
"Castillo, Luis",622491,2022,364.3,150.1,118,167,45,50,8,6,0.223,0.344,0.273,0.284,0.291,0.12,89,10.4,33.8,6.9,37.6,78.44329368,94.00447301,27.8,49.4
"Castillo, Luis",622491,2021,291.6,187.2,181,192,75,83,8,16,0.232,0.347,0.318,0.293,0.312,0.115,87.7,4.2,28.7,4.5,36.9,76.30269113,93.56548181,28.7,49.3
"Cease, Dylan",656302,2023,304,177,172,214,79,90,7,9,0.241,0.381,0.321,0.313,0.327,0.14,90,15.4,36.8,6.2,41.6,79.78860582,94.35501446,31,46.3
"Cease, Dylan",656302,2022,515,184,126,227,78,45,14,8,0.184,0.292,0.263,0.257,0.273,0.109,86.8,15,31.4,6.2,31.2,75.92510977,92.88299565,33.2,47.3
"Cease, Dylan",656302,2021,400.6,165.2,139,226,68,72,13,7,0.21,0.364,0.295,0.295,0.297,0.154,89.2,18.5,37,9.9,38.8,78.65144905,94.13969505,34.6,46.8
"Civale, Aaron",650644,2023,256.3,122.1,109,116,33,47,7,5,0.243,0.38,0.288,0.297,0.3,0.136,89,16,33.5,6.6,36.4,78.32191791,94.02557481,22.7,46.9
"Clevinger, Mike",605182,2023,232.3,131.1,121,110,40,55,9,9,0.239,0.403,0.312,0.312,0.307,0.164,88.1,21.4,34.9,7.2,35.9,77.25460072,93.56354382,23.2,49.1
