player_id,year,player_age,yahoo,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_swinging_strike,r_run,xba,xslg,woba,xwoba,xobp,xiso,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,new_yahoo,new_run,new_rbi,new_sb,new_walk,new_k,new_tb
547989,2022,35,380,601,679,183,128,40,0,15,110,62,16.2,9.1,0.304,0.446,0.378,0.824,0.142,0.35,75,268,0,0,249,85,0.296,0.486,0.361,0.373,0.372,0.19,0.008,-0.04,-0.012,92.2,8,34.5,9.5,19,33.9,51.8,66.1,14.7,29.8,40.9,59.1,85.3,23.2,47.3,47.7,24,25.1,271,62,90,0,42,130,207
660670,2022,24,270,467,533,124,85,24,0,15,126,53,23.6,9.9,0.266,0.413,0.351,0.764,0.147,0.331,50,193,11,29,226,71,0.272,0.484,0.335,0.365,0.358,0.212,-0.006,-0.071,-0.03,91.2,10.8,32.8,12.8,20.3,32.3,49.7,73.5,19.4,24.3,40.1,59.9,80.6,24.9,47.9,47.7,24.7,21.2,707,149,106,73,80,84,383
642715,2022,26,330,563,617,134,72,31,0,31,166,49,26.9,7.9,0.238,0.458,0.298,0.756,0.22,0.278,98,258,3,8,308,83,0.238,0.451,0.325,0.323,0.299,0.213,0,0.007,0.002,88.9,18.9,36.4,13,29.2,25.2,43.6,71.2,20.1,29.8,46,54,79.9,28.2,49.6,34.2,33.4,22.7,289,73,80,5,71,165,225
624413,2022,27,479,597,685,162,95,27,0,40,128,67,18.7,9.8,0.271,0.518,0.352,0.87,0.247,0.279,131,309,1,5,251,95,0.262,0.486,0.366,0.353,0.345,0.225,0.009,0.032,0.013,89.8,18.2,34.5,12.3,30.1,24.1,44.8,70.9,15.7,33.5,38.1,61.9,84.3,24.2,49.9,36.4,30.5,23,414,92,118,4,65,151,286
571448,2022,31,458,557,620,163,90,42,1,30,72,52,11.6,8.4,0.293,0.533,0.358,0.891,0.24,0.29,103,297,3,5,184,73,0.266,0.445,0.381,0.339,0.335,0.18,0.027,0.088,0.042,88.8,21.7,35.4,8.2,36.4,21.5,38.9,66.9,11.7,32.6,31.9,68.1,88.3,19.1,48.4,30.5,29,26.2,364,71,93,3,41,101,257
668227,2022,27,344,586,645,154,90,41,3,20,156,46,24.2,7.1,0.263,0.445,0.327,0.772,0.182,0.325,89,261,12,32,285,72,0.234,0.382,0.336,0.301,0.301,0.148,0.029,0.063,0.035,89.9,8.8,28.2,7.9,22.7,40.5,41,64,21.3,30.9,41.3,58.7,78.4,28.6,46.1,50.2,19.7,20.8,358,95,83,22,80,156,234
650333,2022,25,378,547,603,173,133,31,1,8,43,50,7.1,8.3,0.316,0.42,0.375,0.795,0.104,0.331,49,230,4,4,56,88,0.288,0.408,0.35,0.333,0.35,0.121,0.028,0.012,0.017,88.9,12.9,38.7,3.6,27.6,31,30.2,63.2,5.6,24.1,10.6,89.4,94,7.1,42.9,41.2,25.4,29.8,413,71,69,3,35,34,269
595879,2022,29,237,555,590,132,84,27,4,17,147,26,24.9,4.4,0.238,0.393,0.278,0.671,0.155,0.292,67,218,2,9,362,64,0.226,0.374,0.291,0.281,0.268,0.148,0.012,0.019,0.01,87.9,9.6,29.7,8,21.9,40.1,38,67.9,22.3,47.5,49.1,50.9,77.7,35.8,55.8,50.6,22.9,20.4,194,58,59,12,24,125,166
605137,2022,29,361,552,647,147,98,29,3,17,102,81,15.8,12.5,0.266,0.422,0.362,0.784,0.156,0.296,71,233,1,0,212,78,0.273,0.424,0.344,0.349,0.369,0.151,-0.007,-0.002,-0.005,88.9,8.4,30.7,7.2,20.6,36.6,40.8,68.8,16.3,24.9,34.6,65.4,83.6,21.7,45.3,50.7,19.7,24.1,284,52,74,0,63,134,229
641355,2022,26,236,504,550,106,57,27,3,19,150,38,27.3,6.9,0.21,0.389,0.265,0.654,0.179,0.255,68,196,3,14,253,70,0.213,0.354,0.284,0.278,0.271,0.141,-0.003,0.035,0.006,89.4,20.3,34.4,8.3,35.8,23.3,38.1,68.2,22.4,31.7,37.4,62.6,77.5,27.2,49.9,35.6,32.8,22.2,427,95,97,20,40,87,262
643217,2022,27,272,461,521,140,109,23,3,5,77,52,14.8,10,0.304,0.399,0.373,0.772,0.095,0.352,51,184,3,8,165,54,0.273,0.407,0.342,0.334,0.347,0.134,0.031,-0.008,0.008,89.2,12.6,39.2,5.1,25.1,30.8,38.7,73.2,18,22.7,29.5,70.5,81.9,20.7,48.2,43.8,26.7,25.9,293,72,45,13,52,89,200
605141,2022,29,467,572,639,154,76,40,3,35,104,55,16.3,8.6,0.269,0.533,0.34,0.873,0.264,0.272,82,305,2,12,154,117,0.254,0.465,0.373,0.344,0.327,0.211,0.015,0.068,0.029,90.5,18.6,36.2,9.7,31.8,22.7,44.9,66.9,8.3,22.2,40.5,59.5,91.7,16.5,44.2,33.7,35.6,23.1,574,126,107,14,96,107,338
666182,2022,24,389,652,697,189,121,43,1,24,155,41,22.2,5.9,0.29,0.469,0.333,0.802,0.179,0.347,93,306,8,13,260,91,0.278,0.444,0.347,0.334,0.322,0.166,0.012,0.025,0.013,91.9,8.5,33.3,9.6,17.2,35.5,50.3,77.6,14.8,35.2,40.3,59.7,85.2,23,55.9,49.1,22,24.6,330,69,73,5,27,115,271
593428,2022,29,358,557,631,171,118,38,0,15,118,57,18.7,9,0.307,0.456,0.377,0.833,0.149,0.362,73,254,2,8,254,84,0.259,0.383,0.363,0.323,0.338,0.124,0.048,0.073,0.04,88.1,10.2,30.3,6.5,21.7,34.1,39.5,63.5,18.5,29.2,37.6,62.4,81.5,24.8,45.7,46.6,21.1,25.8,368,83,58,19,56,110,262
664761,2022,25,307,586,631,164,124,24,3,13,110,31,17.4,4.9,0.28,0.398,0.315,0.713,0.118,0.319,72,233,3,2,213,79,0.29,0.436,0.31,0.333,0.327,0.146,-0.01,-0.038,-0.023,90.2,10.4,37.7,6.8,21.6,33.3,43,72,16.1,31.4,31.8,68.2,83.9,21.1,51.2,46.3,21,27.2,367,74,97,4,42,94,244
608324,2022,28,446,548,656,142,81,38,0,23,77,87,11.7,13.3,0.259,0.454,0.366,0.82,0.195,0.26,93,249,2,1,133,93,0.257,0.416,0.358,0.35,0.369,0.159,0.002,0.038,0.008,88.9,19.5,36.2,7.3,32.6,23.3,37.8,65.8,9.4,17.8,32.6,67.4,90.6,14.9,40.3,33.5,32.6,24.5,483,103,98,3,92,87,274
592192,2022,33,272,462,542,123,86,24,0,13,97,48,17.9,8.9,0.266,0.403,0.367,0.77,0.137,0.309,61,186,1,3,186,71,0.245,0.362,0.343,0.323,0.351,0.117,0.021,0.041,0.02,87.7,10.9,32.2,4.9,24.9,35.2,36.6,61,18.4,24.3,31.5,68.2,81.6,22.1,42.9,46.1,24.7,23.3,268,51,62,11,49,79,174
592206,2022,30,228,524,558,138,98,27,0,13,130,29,23.3,5.2,0.263,0.389,0.305,0.694,0.126,0.326,62,204,1,7,335,56,0.25,0.395,0.304,0.302,0.293,0.145,0.013,-0.006,0.002,87.5,14.6,36.9,6.6,27.5,28.8,35.1,76.8,20.2,39.6,52.5,47.5,79.8,32.2,57,42.9,28.5,22,345,79,106,11,36,185,298
656305,2022,29,292,538,621,123,68,27,1,27,170,68,27.4,11,0.229,0.433,0.324,0.757,0.204,0.277,76,233,2,2,276,83,0.234,0.44,0.331,0.341,0.331,0.206,-0.005,-0.007,-0.01,92.2,19,34,12.9,28.7,22.5,51.2,64.2,24,19.2,44.7,55.3,76,28.7,41.7,34.6,30,22.3,237,66,54,4,62,165,216
